iter	Passed	Remaining
0	2	2395
1	3	1814
2	4	1567
3	5	1380
4	6	1261
5	7	1203
6	8	1177
7	9	1123
8	9	1082
9	10	1046
10	11	1009
11	11	972
12	12	939
13	13	920
14	13	903
15	14	920
16	15	908
17	16	895
18	17	887
19	17	875
20	18	871
21	19	859
22	19	847
23	20	853
24	21	850
25	22	846
26	23	842
27	23	832
28	24	823
29	25	817
30	25	811
31	26	803
32	27	801
33	28	812
34	29	809
35	30	808
36	31	814
37	31	809
38	32	805
39	33	799
40	34	810
41	35	808
42	36	805
43	36	802
44	37	798
45	38	795
46	39	793
47	39	790
48	40	786
49	41	785
50	42	782
51	42	780
52	43	776
53	44	778
54	45	774
55	45	770
56	46	768
57	47	765
58	48	768
59	48	765
60	49	766
61	50	764
62	51	763
63	52	761
64	52	758
65	53	756
66	54	760
67	55	764
68	56	763
69	57	761
70	58	758
71	58	756
72	59	753
73	60	751
74	60	750
75	61	751
76	62	748
77	63	746
78	63	743
79	64	741
80	65	737
81	65	734
82	65	729
83	66	727
84	68	734
85	69	733
86	69	732
87	70	730
88	71	727
89	71	725
90	72	724
91	73	722
92	73	720
93	74	718
94	75	716
95	75	713
96	76	711
97	77	709
98	77	707
99	78	706
100	79	704
101	79	703
102	80	701
103	81	704
104	82	703
105	83	701
106	83	699
107	84	698
108	85	696
109	85	694
110	86	692
111	87	690
112	87	688
113	88	686
114	88	684
115	89	683
116	90	681
117	91	680
118	91	678
119	92	677
120	93	675
121	93	673
122	94	674
123	95	676
124	96	676
125	97	674
126	97	672
127	98	673
128	100	675
129	100	674
130	101	673
131	102	672
132	103	672
133	103	671
134	105	674
135	105	673
136	106	671
137	107	671
138	108	670
139	108	668
140	109	667
141	110	665
142	110	664
143	111	663
144	112	661
145	112	660
146	113	659
147	114	657
148	114	655
149	115	653
150	116	653
151	116	652
152	117	651
153	118	649
154	119	651
155	120	650
156	120	648
157	121	646
158	121	645
159	122	644
160	123	642
161	123	640
162	124	638
163	125	637
164	125	635
165	126	634
166	126	632
167	127	630
168	128	629
169	128	628
170	129	627
171	130	626
172	130	625
173	131	624
174	132	622
175	132	621
176	133	619
177	134	619
178	134	618
179	135	617
180	136	615
181	136	614
182	137	613
183	138	612
184	138	610
185	139	608
186	139	607
187	140	606
188	141	605
189	141	604
190	142	603
191	143	602
192	143	600
193	144	601
194	146	605
195	147	603
196	147	602
197	148	601
198	149	601
199	149	599
200	150	598
201	151	597
202	152	596
203	152	595
204	153	594
205	154	593
206	154	592
207	155	591
208	155	590
209	156	589
210	157	587
211	158	589
212	159	588
213	159	586
214	160	585
215	161	584
216	161	583
217	162	582
218	163	581
219	164	581
220	165	581
221	165	580
222	166	579
223	167	579
224	168	579
225	168	577
226	169	576
227	170	575
228	170	575
229	171	574
230	172	574
231	173	573
232	173	572
233	174	571
234	175	570
235	175	569
236	176	568
237	177	567
238	177	566
239	178	565
240	179	564
241	179	563
242	180	562
243	181	561
244	181	560
245	182	559
246	183	558
247	184	558
248	185	557
249	185	556
250	186	555
251	186	554
252	187	553
253	188	553
254	189	552
255	189	551
256	190	550
257	190	549
258	191	548
259	192	547
260	193	546
261	193	546
262	194	545
263	195	544
264	195	543
265	196	542
266	197	543
267	198	543
268	199	542
269	200	542
270	201	541
271	202	540
272	202	540
273	203	539
274	204	538
275	204	537
276	205	537
277	206	536
278	207	535
279	208	534
280	208	534
281	209	533
282	210	532
283	210	531
284	211	530
285	212	530
286	212	529
287	213	528
288	214	527
289	215	526
290	215	525
291	216	524
292	217	524
293	217	523
294	218	522
295	219	521
296	219	520
297	220	519
298	221	518
299	221	517
300	222	517
301	223	516
302	224	516
303	225	515
304	225	514
305	226	513
306	227	512
307	227	511
308	228	510
309	229	510
310	229	509
311	230	508
312	231	507
313	231	506
314	232	505
315	233	504
316	233	504
317	234	503
318	235	502
319	237	504
320	238	504
321	239	504
322	240	503
323	241	503
324	242	503
325	243	502
326	243	501
327	244	501
328	245	501
329	246	501
330	247	500
331	248	499
332	249	499
333	250	498
334	251	498
335	251	497
336	252	496
337	253	495
338	253	494
339	254	494
340	255	493
341	256	492
342	256	491
343	257	490
344	258	490
345	258	489
346	259	489
347	260	488
348	261	487
349	261	486
350	262	485
351	263	485
352	264	485
353	265	485
354	266	484
355	267	483
356	267	482
357	268	481
358	269	480
359	270	480
360	271	479
361	271	479
362	272	478
363	273	477
364	273	476
365	274	476
366	275	475
367	278	478
368	279	478
369	280	477
370	281	477
371	282	476
372	283	476
373	283	475
374	284	474
375	285	473
376	285	472
377	286	471
378	287	470
379	288	469
380	288	469
381	289	469
382	290	468
383	291	467
384	291	466
385	292	465
386	293	464
387	294	464
388	294	463
389	295	462
390	296	461
391	297	460
392	297	460
393	298	459
394	299	458
395	300	457
396	300	456
397	301	455
398	302	455
399	303	454
400	303	454
401	304	453
402	305	452
403	305	451
404	306	450
405	307	449
406	308	448
407	308	448
408	309	447
409	310	446
410	311	445
411	311	444
412	312	443
413	313	443
414	313	442
415	314	441
416	315	440
417	316	440
418	316	439
419	317	438
420	318	437
421	318	436
422	319	436
423	320	435
424	321	434
425	321	433
426	322	432
427	323	431
428	323	430
429	324	429
430	325	429
431	325	428
432	326	427
433	327	426
434	327	425
435	328	425
436	329	424
437	330	423
438	331	423
439	332	423
440	333	422
441	334	422
442	335	421
443	336	420
444	336	419
445	337	419
446	338	418
447	338	417
448	339	416
449	340	415
450	340	414
451	341	413
452	341	412
453	342	411
454	343	411
455	344	411
456	345	410
457	346	409
458	346	408
459	347	407
460	347	406
461	348	405
462	349	405
463	350	404
464	350	403
465	351	402
466	351	401
467	352	400
468	353	400
469	354	399
470	354	398
471	356	398
472	357	398
473	358	397
474	359	396
475	359	395
476	360	395
477	361	394
478	361	393
479	362	392
480	362	391
481	363	390
482	364	389
483	365	389
484	365	388
485	366	387
486	367	386
487	367	385
488	368	385
489	369	385
490	370	384
491	371	383
492	372	382
493	373	382
494	373	381
495	374	380
496	375	379
497	375	378
498	376	377
499	377	377
500	377	376
501	378	375
502	379	374
503	379	373
504	380	372
505	381	372
506	381	371
507	382	370
508	383	370
509	384	369
510	385	368
511	385	367
512	386	366
513	387	366
514	387	365
515	388	364
516	389	363
517	389	362
518	390	361
519	391	361
520	391	360
521	392	359
522	393	358
523	393	357
524	394	356
525	395	356
526	395	355
527	396	354
528	397	353
529	398	353
530	398	352
531	399	351
532	400	350
533	401	349
534	401	349
535	402	348
536	402	347
537	403	346
538	404	345
539	404	344
540	405	344
541	406	343
542	406	342
543	407	341
544	407	340
545	408	339
546	409	339
547	410	338
548	411	337
549	412	337
550	412	336
551	413	335
552	414	334
553	414	333
554	415	333
555	416	332
556	416	331
557	417	330
558	418	329
559	418	329
560	419	328
561	420	327
562	420	326
563	421	325
564	422	325
565	423	324
566	424	323
567	424	323
568	426	322
569	426	322
570	427	321
571	428	320
572	429	319
573	429	318
574	430	318
575	430	317
576	431	316
577	432	315
578	433	315
579	434	314
580	434	313
581	435	312
582	435	311
583	436	311
584	437	310
585	438	309
586	438	308
587	439	307
588	440	307
589	440	306
590	441	305
591	442	304
592	443	304
593	443	303
594	444	302
595	445	301
596	445	300
597	446	300
598	447	299
599	447	298
600	448	297
601	451	298
602	452	297
603	453	297
604	453	296
605	454	295
606	455	294
607	455	293
608	456	293
609	457	292
610	458	291
611	459	291
612	459	290
613	460	289
614	461	288
615	462	288
616	463	287
617	464	287
618	465	286
619	465	285
620	466	284
621	467	284
622	467	283
623	468	282
624	469	281
625	470	280
626	470	280
627	471	279
628	472	278
629	472	277
630	473	276
631	474	276
632	474	275
633	476	274
634	476	274
635	477	273
636	478	272
637	479	271
638	479	271
639	480	270
640	481	269
641	482	269
642	483	268
643	484	267
644	484	266
645	485	266
646	486	265
647	487	264
648	488	264
649	489	263
650	490	263
651	491	262
652	492	261
653	493	260
654	494	260
655	494	259
656	495	258
657	496	258
658	497	257
659	498	256
660	498	255
661	499	255
662	500	254
663	501	253
664	501	252
665	503	252
666	504	251
667	504	250
668	505	250
669	506	249
670	507	248
671	507	247
672	508	247
673	509	246
674	510	245
675	511	244
676	511	244
677	512	243
678	513	242
679	513	241
680	514	241
681	516	240
682	517	239
683	517	239
684	518	238
685	519	237
686	520	236
687	520	236
688	521	235
689	522	234
690	522	233
691	523	233
692	524	232
693	525	231
694	525	230
695	526	229
696	527	229
697	527	228
698	528	227
699	545	233
700	545	232
701	546	232
702	547	231
703	548	230
704	549	229
705	549	228
706	550	228
707	551	227
708	552	226
709	553	225
710	554	225
711	554	224
712	555	223
713	557	223
714	558	222
715	559	221
716	559	220
717	560	220
718	561	219
719	561	218
720	562	217
721	563	216
722	564	216
723	564	215
724	565	214
725	566	213
726	567	213
727	568	212
728	568	211
729	569	210
730	570	209
731	571	209
732	571	208
733	572	207
